names,scores,logfoldchanges,pvals,pvals_adj
GIPC1,20.996304,1.760431,7.089010105476089e-98,2.6781975274828213e-95
CLDN3,20.93139,1.8872703,2.7728834667098867e-97,1.0255290589773882e-94
RAB11FIP1,20.898478,2.2397687,5.527911953570809e-97,2.023158192590733e-94
AKAP12,20.840996,2.0760455,1.8397163485681846e-96,6.595758561932976e-94
TFAP2C,20.740007,3.182036,1.5090107402496458e-95,5.30190923586713e-93
HLA-DMB,20.730423,3.1790717,1.8416306846895492e-95,6.406504366986863e-93
TNFRSF12A,20.672215,1.5785062,6.162244253517434e-95,2.1226514886993633e-92
S100A14,20.649035,2.3037813,9.958946658785236e-95,3.397161076275916e-92
TXNDC17,20.576567,1.4013469,4.4511393124778594e-94,1.503757497537592e-91
ENC1,20.57231,2.6119514,4.859582183104597e-94,1.6261087619369523e-91
KLF5,20.497503,1.9249223,2.266251226551325e-93,7.511767626875548e-91
TTYH1,20.488817,5.3462334,2.7089462221645783e-93,8.895217337920791e-91
KRT19,20.352394,1.8400581,4.421387216438962e-92,1.4383837023109531e-89
SRGAP1,20.345123,1.6906995,5.128298081727109e-92,1.6530527807475408e-89
ITGB8,20.318363,1.7349206,8.847797707993448e-92,2.8260670224577256e-89
RBM39,20.279163,1.015113,1.964431799487673e-91,6.218046060810756e-89
HMGA2,20.254913,1.9756732,3.2151633017098736e-91,1.0086139518355036e-88
PGM2L1,20.244259,2.3234026,3.9914705976424815e-91,1.2410647738775981e-88
CNN3,20.215591,1.7225394,7.138550889658727e-91,2.2001139079663103e-88
RAB4A,20.214815,1.5742598,7.251565112050429e-91,2.2155107844512334e-88
MT1X,20.024601,1.6096666,3.361890128335954e-89,1.0182759453369287e-86
HOMER2,19.995184,2.4659626,6.0654952203028146e-89,1.8214630304729864e-86
SNHG3,19.986794,1.5125506,7.176268617730183e-89,2.1367643888470337e-86
PTBP2,19.966799,2.7034655,1.0710012083298359e-88,3.1621535676192257e-86
SCAF11,19.888868,1.2581567,5.080873346412382e-88,1.4876373752183253e-85
DYRK2,19.874474,1.9501046,6.769348292329764e-88,1.965628531000052e-85
TSPAN12,19.81271,2.725137,2.312985683766659e-87,6.607053008060291e-85
CDH2,19.811245,2.4664989,2.381236850446365e-87,6.747157801647824e-85
ITM2C,19.798313,1.5469145,3.07826848116317e-87,8.652397046853438e-85
PNRC2,19.782885,1.4885911,4.180733942810607e-87,1.165794341909926e-84
CAND1,19.778444,1.5418638,4.56568302861395e-87,1.2631123874830798e-84
EMC6,19.713184,1.2490331,1.6617163228037463e-86,4.561281484508564e-84
HIST1H4C,19.602772,1.7291104,1.4642502462241368e-85,3.988095534967833e-83
TAF7,19.58065,1.2846031,2.2611478117160146e-85,6.111186797280167e-83
BRD2,19.56863,1.2519364,2.862750986503344e-85,7.678072970289694e-83
TIMM44,19.518972,1.8019335,7.574633267942095e-85,2.016172271735951e-82
ABCD3,19.508144,2.5049064,9.3617642440238e-85,2.4731247121336557e-82
STX3,19.476624,1.6204349,1.7334153776774684e-84,4.5450409921416305e-82
GMDS,19.46443,2.3837073,2.1992546047831275e-84,5.723763743633717e-82
PAFAH1B2,19.444647,1.5703437,3.2349804167806414e-84,8.357429187028518e-82
TOMM20,19.359701,1.0079882,1.6885907808396926e-83,4.299176600348014e-81
DNTTIP2,19.35825,1.2838566,1.7368529058596164e-83,4.3902393415379585e-81
MFHAS1,19.334036,2.1106353,2.778074153936555e-83,6.971973957040062e-81
KCNK1,19.318632,2.1101794,3.744380138062521e-83,9.330411074526713e-81
WDR73,19.309208,2.0589192,4.4941064307178444e-83,1.1119748552343062e-80
PTMS,19.279902,1.2814841,7.922821101242347e-83,1.946631604140908e-80
NOTCH3,19.24529,3.189129,1.5459355193202375e-82,3.771975310508093e-80
TP53BP2,19.239225,1.7687792,1.737869981068817e-82,4.211038743782958e-80
CLU,19.180254,1.6745813,5.411550282040295e-82,1.302293281914286e-79
B4GALT5,19.152903,1.7124038,9.153889229273185e-82,2.1879040685068933e-79
HDGF,19.144487,1.309934,1.0759242186680946e-81,2.554229555601588e-79
RNF11,19.124716,1.5526046,1.5722935070615476e-81,3.707552508094461e-79
PLK2,19.100538,1.5867338,2.4989532216111755e-81,5.853381429420577e-79
MARCKSL1,19.09238,1.2628952,2.921427254849378e-81,6.797638847624696e-79
RPS15A,19.091963,0.4767919,2.944917397365116e-81,6.807215312922589e-79
PPDPF,19.013662,1.0586351,1.3144551294986815e-80,2.998920842528323e-78
AEN,18.942524,2.1766295,5.089819460009132e-80,1.1537471401769086e-77
GNG5,18.935646,0.9188734,5.800019349947215e-80,1.3063056401307397e-77
ST14,18.933517,2.4066482,6.0392255832397965e-80,1.3515171392810843e-77
GAS5,18.90704,0.8632284,9.980437330749537e-80,2.2193839595942088e-77
FOSL1,18.82692,1.9186926,4.544459907291729e-79,9.979349927668432e-77
ANKRD33B,18.80615,2.46964,6.724770023511243e-79,1.4675453091681214e-76
MYO6,18.801401,1.9442693,7.354789199302237e-79,1.595126657515334e-76
HMGA1,18.784164,1.393005,1.017772854900875e-78,2.1938312427571926e-76
MT1F,18.630123,1.7747428,1.8310538201411765e-77,3.922809510406112e-75
SRSF10,18.618803,1.1934416,2.2621424260154704e-77,4.816992372003246e-75
SVBP,18.571323,1.7457514,5.483470822404551e-77,1.1606129358143609e-74
CKB,18.545523,1.5377929,8.863489274923067e-77,1.864782608828874e-74
HMGN2,18.528015,1.1447917,1.2273250917280957e-76,2.5667897082063476e-74
RPL6,18.504576,0.4684116,1.8966472716539518e-76,3.943118455003645e-74
SMAD3,18.453688,2.2026472,4.870454066073414e-76,1.006608256538173e-73
DR1,18.427505,1.5314211,7.904341765701595e-76,1.6240879996369915e-73
RPS23,18.421268,0.50546056,8.870036381085264e-76,1.8119112107525043e-73
MEAF6,18.397854,1.3517922,1.366695340023632e-75,2.775655535938168e-73
MDM4,18.365288,1.7280717,2.491293427996351e-75,5.0305514133707933e-73
MAP2K7,18.35686,1.6876478,2.909569256768102e-75,5.841583762088416e-73
RRP7A,18.332966,1.3514332,4.51599831053633e-75,9.015318218221246e-73
TLE4,18.306364,1.4913471,7.362359668510299e-75,1.4614491918254766e-72
COL4A2,18.280563,1.8266234,1.181968567422753e-74,2.3330598660897995e-72
POLR2A,18.217854,1.6312852,3.7248744608077e-74,7.311366713993213e-72
PKN2,18.201527,1.768608,5.019007287516263e-74,9.79682339149355e-72
COX20,18.176193,1.413554,7.967714184119818e-74,1.546660982646684e-71
CHI3L1,18.160936,2.8505182,1.0521499709659282e-73,2.031169737905928e-71
CRYAB,18.12341,2.05635,2.082763068874638e-73,3.998791280049749e-71
SH2D3A,18.122402,2.343516,2.1213122480121687e-73,4.0506687953210624e-71
PLK3,18.10536,1.5358918,2.891107660807582e-73,5.4907604141878055e-71
ATXN1,18.078392,1.5975724,4.716423292461774e-73,8.909222171002389e-71
RAB21,18.061916,1.3542047,6.357622140657875e-73,1.1945190048770824e-70
SPEN,18.056343,1.6110322,7.033007594275985e-73,1.3143868182174827e-70
TACSTD2,18.010475,1.5652661,1.612380503351206e-72,2.997406824616118e-70
NELFCD,17.986668,1.4905001,2.4781870942236053e-72,4.5826896608182304e-70
MLLT4,17.963366,1.717719,3.7723134345859347e-72,6.939279189747478e-70
ZNF706,17.848967,1.0373933,2.9443870212244282e-71,5.388074895350015e-69
UBE2H,17.844734,1.388818,3.1761574817303527e-71,5.782087726455749e-69
POLR2J3,17.831335,1.194849,4.0366855773938054e-71,7.310770503182029e-69
EFHD2,17.789268,1.3120552,8.558974923144636e-71,1.5421517124342912e-68
PELI1,17.747288,1.6977727,1.8087833569386827e-70,3.2424287370428887e-68
CCT2,17.717686,1.1624613,3.0625237222264827e-70,5.46201883149378e-68
HSP90B1,17.639029,0.9838126,1.2356564587456113e-69,2.1926661453549017e-67
NFIB,17.630774,2.2919059,1.4299742991076398e-69,2.5247310049822575e-67
FOXO3,17.611605,1.2787931,2.0067541509142518e-69,3.5253653546186116e-67
TRAF4,17.593924,1.4104186,2.7421400729218694e-69,4.793288132443278e-67
CCDC59,17.575186,1.1215937,3.8163865090542484e-69,6.638056435426783e-67
CNOT2,17.57259,1.307257,3.995120468176766e-69,6.914707273369e-67
RAB22A,17.553988,1.278589,5.544781395288405e-69,9.549798741345986e-67
CDH6,17.538054,2.2498615,7.339886664985874e-69,1.2579849657281886e-66
COX7C,17.475834,0.70643795,2.1892099410265035e-68,3.733878217377e-66
PXDC1,17.473927,1.6559615,2.263641505298457e-68,3.8421760525923327e-66
TMED5,17.447622,1.3722731,3.5886624079509237e-68,6.061906428045947e-66
BTG1,17.418623,1.0243462,5.959497688619706e-68,1.0018514415772888e-65
