row_index,zero_proportion,zero_count,total_count
269,0,0,307
270,0,0,307
271,0,0,307
272,0,0,307
273,0,0,307
274,0.8566775244299675,263,307
275,0,0,307
276,0.15309446254071662,47,307
277,0.1498371335504886,46,307
278,0.019543973941368076,6,307
279,0.009771986970684038,3,307
280,0.03908794788273615,12,307
281,0,0,307
282,0.7068403908794788,217,307
283,0.8957654723127035,275,307
284,0.8631921824104235,265,307
285,0,0,307
286,0,0,307
287,0.8175895765472313,251,307
288,0.8827361563517915,271,307
289,0,0,307
290,0.9837133550488599,302,307
291,0,0,307
292,0,0,307
293,0.009771986970684038,3,307
294,0,0,307
295,0,0,307
296,0,0,307
297,0,0,307
298,0,0,307
299,0.009771986970684038,3,307
300,0,0,307
301,0.003257328990228013,1,307
302,0.23452768729641693,72,307
303,0,0,307
304,0.31596091205211724,97,307
305,0,0,307
306,0,0,307
307,0,0,307
308,0,0,307
309,0,0,307
310,0,0,307
311,0.003257328990228013,1,307
312,0,0,307
313,0,0,307
314,0,0,307
315,0.003257328990228013,1,307
316,0,0,307
317,0.006514657980456026,2,307
318,0,0,307
319,0,0,307
320,0,0,307
321,0.10749185667752444,33,307
322,0,0,307
323,0,0,307
324,0,0,307
325,0,0,307
326,0,0,307
327,0,0,307
328,0,0,307
329,0,0,307
330,0,0,307
331,0.30293159609120524,93,307
332,0,0,307
333,0.12052117263843648,37,307
334,0,0,307
335,0,0,307
336,0,0,307
337,0,0,307
338,0,0,307
339,0.19218241042345277,59,307
340,0,0,307
341,0.07166123778501629,22,307
342,0.14006514657980457,43,307
343,0,0,307
344,0,0,307
345,0,0,307
346,0,0,307
347,0.7785016286644951,239,307
348,0.07166123778501629,22,307
349,0.22149837133550487,68,307
350,0.5798045602605864,178,307
351,0,0,307
352,0.18566775244299674,57,307
353,0.742671009771987,228,307
354,0,0,307
355,0,0,307
356,0.8892508143322475,273,307
357,0.31596091205211724,97,307
358,0,0,307
359,0,0,307
360,0,0,307
361,0,0,307
362,0,0,307
363,0,0,307
364,0,0,307
365,0,0,307
366,0,0,307
367,0,0,307
368,0,0,307
369,0,0,307
370,0,0,307
371,0,0,307
372,0,0,307
373,0,0,307
374,0.498371335504886,153,307
375,0,0,307
376,0.019543973941368076,6,307
377,0,0,307
378,0,0,307
379,0,0,307
380,0.009771986970684038,3,307
381,0,0,307
382,0.20846905537459284,64,307
383,0,0,307
384,0,0,307
385,0,0,307
386,0,0,307
387,0,0,307
388,0,0,307
389,0,0,307
390,0,0,307
391,0,0,307
392,0,0,307
393,0,0,307
394,0,0,307
395,0,0,307
396,0.12052117263843648,37,307
397,0,0,307
398,0,0,307
399,0,0,307
400,0,0,307
401,0,0,307
402,0,0,307
403,0,0,307
404,0.9218241042345277,283,307
405,0.6547231270358306,201,307
406,0,0,307
407,0,0,307
408,0,0,307
409,0,0,307
410,0,0,307
411,0,0,307
412,0,0,307
413,0,0,307
414,0,0,307
415,0,0,307
416,0,0,307
417,0,0,307
418,0.6091205211726385,187,307
419,0,0,307
420,0,0,307
421,0.09771986970684039,30,307
422,0,0,307
423,0,0,307
424,0,0,307
425,0,0,307
426,0,0,307
427,0,0,307
428,0,0,307
429,0,0,307
430,0,0,307
431,0,0,307
432,0,0,307
433,0,0,307
434,0,0,307
435,0,0,307
436,0,0,307
437,0,0,307
438,0,0,307
439,0.019543973941368076,6,307
440,0.08794788273615635,27,307
441,0,0,307
442,0.15960912052117263,49,307
443,0,0,307
444,0.019543973941368076,6,307
445,0.5895765472312704,181,307
446,0,0,307
447,0.009771986970684038,3,307
448,0.4006514657980456,123,307
449,0,0,307
450,0.9446254071661238,290,307
451,0.6547231270358306,201,307
452,0,0,307
453,0,0,307
454,0,0,307
455,0,0,307
456,0,0,307
457,0,0,307
458,0,0,307
459,0,0,307
460,0,0,307
461,0,0,307
462,0,0,307
463,0,0,307
464,0.23127035830618892,71,307
465,0.4820846905537459,148,307
466,0.49185667752442996,151,307
467,0,0,307
468,0,0,307
469,0,0,307
470,0,0,307
471,0,0,307
472,0.003257328990228013,1,307
473,0,0,307
474,0,0,307
475,0,0,307
476,0.019543973941368076,6,307
477,0,0,307
478,0,0,307
479,0.3583061889250814,110,307
