gene,log2FC,pval,mean_high,mean_low,padj
C9orf103,0.3472492080245644,0.0011226023415023345,6.149775254947332,5.802526046922767,0.006664013833577804
RPS27A,-0.34722389382912944,0.00014631639922496975,12.030206645656792,12.377430539485921,0.0014488872542878343
CATSPER3,0.3471224654517435,0.010689046492005295,3.00124984996382,2.6541273845120763,0.036078042490772476
HELLS,-0.346992937402252,0.008522172158324,6.961326078875195,7.308319016277447,0.0303556967043375
DUT,-0.34692325727086804,1.0504550804049531e-05,10.147220860062228,10.494144117333096,0.00021540324896477365
TUBG1,-0.34691426726449137,1.0332187041628807e-05,9.661278220747102,10.008192488011593,0.00021382151593177216
STOM,0.3468391017356982,0.001820376885367776,10.719799766415745,10.372960664680047,0.00963164359112264
UBE2N,-0.34666070290991335,1.3208070384945752e-06,10.865272431259735,11.211933134169648,4.8027645409874605e-05
CALR3,-0.34660594982702153,0.01131499338574519,0.691989411729605,1.0385953615566266,0.03759734113728096
ORMDL2,-0.34656789123592446,0.00015612969067783146,9.408761944892365,9.75532983612829,0.0015159770992680469
LOC389333,0.34637965520020053,0.000615921987892604,6.303242833809993,5.956863178609792,0.004252039457538373
UBA52,-0.34606612969257533,0.00015839298212118436,13.68235714646991,14.028423276162485,0.001532981216510148
AIF1L,-0.3460390210066855,0.0044816637265535425,10.939524647840202,11.285563668846887,0.018787427192551057
MFSD2B,-0.34600148839933187,0.001825697105741874,1.8520680994372238,2.1980695878365557,0.0096569485013078
HNMT,0.3458643023838288,0.009563460541928834,8.691213217235616,8.345348914851787,0.03315099222591039
LIMS2,-0.34567917716907637,0.002414550738547866,8.76813887666218,9.113818053831256,0.011905730144533439
MRTO4,-0.3456392997336746,1.4728290212399326e-07,9.723477977429093,10.069117277162768,9.908774422671502e-06
GINS2,-0.3455371661818374,0.0026542609179455645,7.731283913816141,8.076821079997979,0.012700716267729402
PLXND1,0.34545759733625125,0.0012970448404966762,11.246903173860291,10.90144557652404,0.007443711332217826
ITGB8,0.3454483820256389,0.009563460541928834,11.770053648987316,11.424605266961677,0.03315099222591039
TIMM17B,-0.345175962720921,0.001910930739257126,10.25695388143812,10.602129844159041,0.009990118995714713
CECR6,0.3450868655959818,0.013467461438534509,5.074470674846171,4.729383809250189,0.04283215471324281
PC,0.3450381880351667,0.0001431764772836827,8.764965621395561,8.419927433360394,0.0014280283517194847
DIP2C,0.3450056295933699,0.0005430868762274807,8.706581798453527,8.361576168860157,0.003869682490152414
BRI3BP,-0.344809893026949,0.00034071278734101716,7.479257184492125,7.824067077519074,0.002705669230330102
SLC24A4,0.34476247471635,0.00933519098709285,1.969050656420681,1.6242881817043309,0.032516586329483975
MYH14,0.34474091673741647,0.0021817040839723087,11.976964229882897,11.63222331314548,0.011002232021447102
RPL38,-0.34472263493650956,0.0011658875155270544,12.96510147130478,13.30982410624129,0.006855265938269224
PLEKHF2,0.3447225994282519,0.0011658875155270544,9.593155036546351,9.2484324371181,0.006855265938269224
PLCG2,0.3446991977251752,0.004164806898991281,7.992947389427999,7.648248191702824,0.017744882904786617
LOC646471,0.3444500067341085,0.005754253758802251,6.602086867297345,6.257636860563236,0.022632726137369132
C11orf53,-0.34433686166924493,0.016212466890423743,0.9746058529598328,1.3189427146290778,0.04931829682517895
C10orf84,-0.34431012753987744,8.939444897125235e-07,8.840137915035925,9.184448042575802,3.616649745204068e-05
C17orf42,-0.3440757890129529,1.3692498137142295e-06,7.125212809498092,7.469288598511045,4.919166880749741e-05
MRC2,0.3440528607733988,0.00515307431114771,11.248858275938353,10.904805415164954,0.02084320510046078
LSM5,-0.3439681523291007,2.2011284863716284e-05,9.195638777163872,9.539606929492972,0.00037125700470134803
NOP2,-0.34389709967227056,2.2365671679168563e-05,10.112492931972877,10.456390031645148,0.0003758227880008465
BOK,0.3438265326960881,0.0020177369081881497,9.76292344282243,9.419096910126342,0.010385274522001069
LSM7,-0.3437906823516208,4.03506170825917e-05,9.066918471368945,9.410709153720566,0.0005685733122167256
PHLPP1,0.3437046603104905,0.0007447922359708957,8.036500894115976,7.692796233805486,0.004915026794542689
EPHX2,0.34358157628801145,0.001313339630816534,8.398677157777088,8.055095581489077,0.0075156163709325895
FLJ14107,0.343574750393715,0.0064057799436236,1.7658179196342851,1.4222431692405701,0.024581718677058478
MED28,-0.343569649546728,0.00012201623561071619,9.442341065267406,9.785910714814134,0.0012705957334929246
SPACA3,-0.34354355469698483,0.0030499405663805845,0.40062135552735234,0.7441649102243372,0.014095380329199556
MORN2,-0.3434240437628109,1.9362466873371095e-05,8.253142472119551,8.596566515882362,0.0003373501381633026
C16orf75,-0.3431951893935601,0.006848514822143775,8.375361789543511,8.718556978937071,0.025849941531869855
LIMA1,0.34318503194828764,1.6476838319988968e-05,9.845251689211747,9.502066657263459,0.0002983603293769777
HIST1H2BL,-0.3431225664382269,0.004247118179611246,1.88202799677116,2.225150563209387,0.018029986514713207
FDFT1,0.3429346850404862,0.003072624032718894,11.411462247193185,11.068527562152699,0.014148563317028837
SPSB1,0.3429269921808764,0.0010945762103994497,10.45824885376511,10.115321861584233,0.006534354425857532
PRR4,-0.34291961151218775,0.00010614959521741822,6.147871102910914,6.490790714423102,0.0011438303412660369
HIST1H2BM,-0.34290806616941216,0.014563178748810275,1.30345155300892,1.646359619178332,0.045314113955461456
TREML1,0.3428316516129073,0.007474694891765719,1.9362661482991415,1.5934344966862342,0.02757041978250259
SCML1,0.34254376742766457,0.0026857072982075236,7.306337275827573,6.963793508399909,0.012817045748592387
NEK6,0.34218473005986105,4.09808867678464e-05,10.013072866417557,9.670888136357696,0.0005733174992296144
SUV39H2,-0.34205198054577224,0.0001312402774492489,8.107832634203925,8.449884614749697,0.0013394710817163967
AXL,0.3419685576321463,0.009268774758540614,9.904499331458597,9.56253077382645,0.03235425592453654
FBXO22OS,-0.3419559500650804,0.00301942514746224,4.974172753109641,5.316128703174721,0.01397884894944954
PRR11,-0.3419485951172403,0.0032561855614966547,7.205664801019752,7.547613396136993,0.014744356249348226
ACSM5,0.3419474742841411,0.007245674079137265,2.5135896376724967,2.1716421633883556,0.026991713704592014
DCI,-0.3418854210340587,0.0002989041161499428,10.118535268143347,10.460420689177406,0.00245393722047597
OST4,-0.34180468638906447,0.00013219797527325915,12.549950854920251,12.891755541309315,0.0013454233596790675
