gene,logrank_p_value,logrank_test_statistic,cox_p_unadjusted,cox_hr_unadjusted,cox_hr_ci_lower_unadjusted,cox_hr_ci_upper_unadjusted,cox_p_adjusted,cox_hr_adjusted,cox_hr_ci_lower_adjusted,cox_hr_ci_upper_adjusted,high_group_n,low_group_n,high_group_events,low_group_events,median_survival_high,median_survival_low,expression_mean,expression_std,age_mean_high,age_mean_low,age_difference_p_value,has_age_data,cox_p_adjusted_fdr
PRPS2|5634,0.044702440221781305,4.029830188077529,0.007126753916479011,0.9996297517127497,0.9993601574534221,0.9998994186996762,0.02127316586235843,0.9996800772512958,0.9994079001188133,0.9999523285080587,118,118,67,75,1484.0,1157.0,1075.3976755932201,613.974054461416,57.70338983050848,61.855932203389834,0.003289466024904912,True,0.44145455666744027
KRTAP11-1|337880,0.902047642227233,0.015147476027203729,0.03186539476268744,1.139481647003653,1.0113890187619416,1.2837972330840348,0.021279373227636955,1.151027609541105,1.0211713434262095,1.2973969221274428,295,276,179,167,1348.0,1348.0,0.09797457627118646,0.9427443209542937,59.2,59.19927536231884,0.9993721093480992,True,0.44145455666744027
TMEM33|55161,0.6128355899590778,0.2560663603275203,0.022541916264939368,1.0003060220060447,1.0000430776809743,1.000569035467855,0.021282394345096534,1.0003127221492398,1.0000465670395386,1.000578948094185,118,118,66,72,1321.0,1484.0,1573.3621247457627,552.5167770903954,58.66949152542373,57.855932203389834,0.5678969089789568,True,0.44145455666744027
TAS2R13|50838,0.48655839845674254,0.4841280659088,0.009587098694930123,1.0803600880602597,1.0189889592108057,1.1454274448444828,0.02128413976380186,1.076180625615387,1.0109932231999932,1.1455712188496234,118,118,73,71,1213.0,1366.0,0.7352115254237288,1.9551750430890864,60.75423728813559,57.38135593220339,0.017117442829584842,True,0.44145455666744027
C16orf71|146562,0.000446293345965626,12.327669063060824,0.029484324634844846,0.9963375778303433,0.9930516804911057,0.9996343478376767,0.021286841115059026,0.9960669798875157,0.9927317712531438,0.9994133935794438,118,118,63,76,1646.0,1104.0,45.54364,60.111454730229624,58.516949152542374,59.483050847457626,0.5014073823315373,True,0.44145455666744027
LGALS13|29124,0.8410791731831306,0.04020557533953464,0.016206600100065357,1.5485653331844966,1.0841668379898974,2.211887051984481,0.021364840202292647,1.5123280764792078,1.0633034961298384,2.1509721535120594,295,289,179,174,1348.0,1354.0,0.031496271186440675,0.29265539918669425,59.2,59.083044982698965,0.8970864917121941,True,0.44145455666744027
MAT1A|4143,0.5551843808145057,0.34811103347972255,0.06442034730602147,0.9991364033669773,0.9982219222953305,1.000051722203866,0.021376731008863305,0.9989202905831068,0.9980016318337332,0.9998397949562458,118,118,74,72,1348.0,1329.0,138.47257559322034,174.37999986437669,61.05084745762712,57.779661016949156,0.02465718119499373,True,0.44145455666744027
ECE2|9718,0.07772120855307135,3.111921714066806,0.01831515028487222,0.9995712120073246,0.9992151232112225,0.9999274277022573,0.021424608727840404,0.9995904503264107,0.9992416447850742,0.9999393776253882,118,118,66,79,1348.0,1354.0,624.82738,436.9871769309591,57.97457627118644,61.771186440677965,0.006478126909223993,True,0.44145455666744027
MICALCL|84953,0.06559800920370586,3.389872809093072,0.051761402497957326,1.0094779795961835,0.9999279778455769,1.0191191904493027,0.021490701613191363,1.011345927008522,1.0016662110924126,1.0211191839657279,118,118,75,73,1329.0,1384.0,16.43773627118644,17.405287161578606,58.652542372881356,59.54237288135593,0.5371030016584087,True,0.44145455666744027
OTUB2|78990,0.0032507803335406057,8.661082987995508,0.0077713667743130365,0.996976882674124,0.994756751112062,0.9992019692004496,0.021495154295147607,0.9973922557701862,0.9951746151560711,0.999614838160165,118,118,65,79,1562.0,1229.0,132.87270033898304,74.09731123648942,58.813559322033896,58.79661016949152,0.9904563720159332,True,0.44145455666744027
HDAC4|9759,0.08456991994556577,2.974812616046848,0.03181721898833215,1.000381241022782,1.0000331573301264,1.0007294458736773,0.021497005186708374,1.0004271121297035,1.000062997351887,1.0007913594787397,118,118,79,68,1163.0,1341.0,626.3197118644068,364.55482165113904,60.355932203389834,58.96610169491525,0.33296092844300273,True,0.44145455666744027
TGFBR1|7046,0.1317737116548378,2.271483495480541,0.010691502263551124,1.0005881467603954,1.0001365230945292,1.0010399743623553,0.021519327973288337,1.000541431299051,1.0000797761813602,1.0010032995251885,118,118,71,77,1229.0,1354.0,776.0431681355933,316.6159678270164,60.720338983050844,58.79661016949152,0.1741997785054475,True,0.44145455666744027
ABCB4|5244,0.038336896694498745,4.290011923232704,0.011583363185563423,1.0168667692142133,1.0037478039923668,1.0301571990687168,0.02152230873952597,1.0147893623813007,1.002165709572731,1.0275720274257802,118,118,75,68,1279.0,1341.0,9.326125084745764,10.845672644316164,59.95762711864407,58.3728813559322,0.2665672253207376,True,0.44145455666744027
LRRC27|80313,0.21090571505157865,1.5651982617773377,0.03932970211933459,0.9983968454314411,0.9968744600556184,0.9999215557311387,0.021543000930719907,0.9982231760120406,0.9967104350858846,0.9997382128759424,118,118,71,73,1354.0,1319.0,218.91336644067795,99.17525812035872,58.53389830508475,59.6271186440678,0.44488683561870923,True,0.44145455666744027
GCNT4|51301,0.21456809500338905,1.5403340119383477,0.03471320959421295,0.9926559342798761,0.9858878075377222,0.9994705242597813,0.0215434635250131,0.9910508721450839,0.9834825286190078,0.9986774575026739,118,118,60,80,1451.0,1259.0,15.589259661016948,35.67081441757431,59.33898305084746,59.08474576271186,0.8579325876461834,True,0.44145455666744027
NCOA3|8202,0.01657813300122395,5.740493600298533,0.01398130008330752,1.0003033192996198,1.0000614253975575,1.000545271710748,0.021547447939276827,1.0002926661455651,1.000043073217587,1.0005423213674898,118,118,70,71,1155.0,1470.0,1690.6639772881358,613.7152811142519,60.05084745762712,57.86440677966102,0.12511549839155858,True,0.44145455666744027
BCAS3|54828,0.035146047536741026,4.438065621743568,0.03172434534380992,0.9994036665093314,0.9988598126272211,0.999947816506113,0.021555476571777473,0.9993807864870201,0.9988529877903511,0.999908864075045,118,118,65,76,1562.0,1249.0,624.647206779661,270.70679726544074,60.74576271186441,58.279661016949156,0.08990327250404703,True,0.44145455666744027
