gene,rho,pval,padj
C6orf108|10591,-0.22072052282945365,0.000487846607085479,0.0025174342439173974
C6orf114|85411,0.08934571755037553,0.16241630284918976,0.2621279468176097
C6orf115|58527,-0.2742996596288362,1.2752495973623094e-05,0.0001358677848008254
C6orf118|168090,-0.07087010484731288,0.26817045240140475,0.38611300388637654
C6orf120|387263,-0.10702567192572691,0.09395454852787688,0.17135806226076275
C6orf122|401288,0.03299766435654937,0.6065163705942684,0.7087466539802787
C6orf123|26238,0.10165848296603955,0.1117327140715479,0.1959823008365604
C6orf124|653483,0.021298090031718033,0.7395994542209685,0.8156572320832058
C6orf125|84300,-0.2614377003887365,3.295153781517079e-05,0.0002855323076574592
C6orf126|389383,-0.03882666745232791,0.5444487148272105,0.656780238769023
C6orf127|340204,0.04840680242890924,0.4497647375791902,0.5705596031874995
C6orf129|154467,-0.31155145972677606,6.155898992978357e-07,1.2466562977550195e-05
C6orf130|221443,-0.08405938459120194,0.18883552120439634,0.2946536194748585
C6orf132|647024,0.08446807181448661,0.18668705517918047,0.292138650769546
C6orf134|79969,-0.07187937681244116,0.261397023011385,0.37851468958915835
C6orf136|221545,-0.07189791686399057,0.26127370643888925,0.3783971288205892
C6orf138|442213,0.279293607344859,8.7057104597458e-06,9.99876451332569e-05
C6orf141|135398,0.34295029158818807,3.3923252514561325e-08,1.2347964791122705e-06
C6orf142|90523,-0.029774362781267473,0.6421339971578155,0.737863936190347
C6orf145|221749,0.04801188175477556,0.4534751713613093,0.5738077277517046
C6orf147|387097,-0.14039776471465448,0.027682682751944035,0.06484079153385978
C6orf150|115004,-0.09615314082579807,0.13260488828282127,0.22416540638286453
C6orf153|88745,-0.2230976798737664,0.00042209251853067716,0.0022305644269266585
C6orf154|221424,-0.21934855901479772,0.0005299945959408589,0.0026832843649621336
C6orf155|79940,0.016270507412997782,0.7995650945430139,0.86018972230198
C6orf15|29113,0.16620873310018922,0.00900678859732661,0.026290046079586918
C6orf162|57150,-0.13522589642156851,0.03401620973705327,0.07650346506907324
C6orf163|206412,0.070663405497813,0.26957230681986816,0.3877472203132936
C6orf164|63914,-0.10737089447889892,0.09289304613388077,0.16992238163980655
C6orf165|154313,-0.15295099179199673,0.016356255670857453,0.04233536320109689
C6orf167|253714,-0.2080125266261338,0.0010310853647407358,0.004579966965093432
C6orf168|84553,-0.0327082783345391,0.6096780577875531,0.7111920872808505
C6orf170|221322,-0.243411127658331,0.00011503514137468916,0.0007953719185964362
C6orf174|387104,0.21399629924157926,0.0007287490109160501,0.0034741291090989936
C6orf176|90632,0.09928508647692123,0.12039104829108045,0.20766126372697122
C6orf182|285753,-0.2430137256838155,0.00011812735779000585,0.0008108222116858521
C6orf186|728464,-0.18830687009671052,0.0030267731139513466,0.010866662344027582
C6orf192|116843,0.06543469367602871,0.30669960701877486,0.427944097314349
C6orf195|154386,-0.09500085146023779,0.13733110632253523,0.22990481480630945
C6orf1|221491,0.08144846167952714,0.20299003090717913,0.31162378644437727
C6orf201|404220,-0.04328296819836496,0.4992146463995373,0.6160616030004732
C6orf203|51250,-0.22948190632034388,0.00028396270416050553,0.0016255009734975018
C6orf204|387119,-0.07004552388744575,0.2737925954330965,0.3923210267840389
C6orf208|80069,0.10365243339082417,0.1048427390579041,0.1867787485566926
